1. The security team is concerned because the number of AWS Identity and Access Management (IAM) policies being used in the environment is increasing. The team tasked a SysOps administrator to report on the current number of IAM policies in use and the total available IAM policies. Which AWS service should the administrator use to check how current IAM policy usage compares to current service limits?	A. AWS Trusted Advisor	B. Amazon Inspector	C. AWS Config	D. AWS Organizations	A
136. A SysOps Administrator is managing a web application that runs on Amazon EC2 instances behind an Application Load Balancer (ALB). The instances run in an EC2 Auto Scaling group. The administrator wants to set an alarm for when all target instances associated with the ALB are unhealthy. <br /> Which condition should be used with the alarm? 	A. AWS/ApplicationELB HealthyHostCount <= 0	B. AWS/ApplicationELB UnhealthyHostCount >= 1	C. AWS/EC2 StatusCheckFailed <= 0	D. AWS/EC2 StatusCheckFailed >= 1	A
137. A SysOps administrator has created a VPC that contains a public subnet and a private subnet. Amazon EC2 instances that were launched in the private subnet cannot access the internet. The default network ACL is active on all subnets in the VPC, and all security groups allow all outbound traffic: <br /> Which solution will provide the EC2 instances in the private subnet with access to the internet?	A. Create a NAT gateway in the public subnet. Create a route from the private subnet to the NAT gateway.	B. Create a NAT gateway in the public subnet. Create a route from the public subnet to the NAT gateway.	C. Create a NAT gateway in the private subnet. Create a route from the public subnet to the NAT gateway.	D. Create a NAT gateway in the private subnet. Create a route from the private subnet to the NAT gateway.	A
138. A company uses an Amazon Elastic File System (Amazon EFS) file system to share files across many Linux Amazon EC2 instances. A SysOps administrator notices that the file system's PercentIOLimit metric is consistently at 100% for 15 minutes or longer. The SysOps administrator also notices that the application that reads and writes to that file system is performing poorly. They application requires high throughput and IOPS while accessing the file system. What should the SysOps administrator do to remediate the consistently high PercentIOLimit metric? 	A. Create a new EFS file system that uses Max I/O performance mode. Use AWS DataSync to migrate data to the new EFS file system.	B. Create an EFS lifecycle policy to transition future files to the Infrequent Access (IA) storage class to improve performance. Use AWS DataSync to migrate existing data to IA storage.	C. Modify the existing EFS file system and activate Max I/O performance mode.	D. Modify the existing EFS file system and activate Provisioned Throughput mode.	A
139. A data storage company provides a service that gives users the ability to upload and download files as needed. The files are stored in Amazon S3 Standard and must be immediately retrievable for 1 year. Users access files frequently during the first 30 days after the files are stored. Users rarely access files after 30 days. The company's SysOps administrator must use S3 Lifecycle policies to implement a solution that maintains object availability and minimizes cost. <br /> Which solution will meet these requirements?	A. Move objects to S3 Glacier after 30 days.	B. Move objects to S3 One Zone-Infrequent Access (S3 One Zone-IA) after 30 days.	C. Move objects to S3 Standard-Infrequent Access (S3 Standard-IA) after 30 days.	D. Move objects to S3 Standard-Infrequent Access (S3 Standard-IA) immediately.	C
140. A company using AWS Organizations requires that no Amazon S3 buckets in its production accounts should ever be deleted. What is the SIMPLEST approach the SysOps administrator can take to ensure S3 buckets in those accounts can never be deleted? 	A. Set up MFA Delete on all the S3 buckets to prevent the buckets from being deleted.	B. Use service control policies to deny the s3:DeleteBucket action on all buckets in production accounts.	C. Create an IAM group that has an IAM policy to deny the s3:DeleteBucket action on all buckets in production accounts.	D. Use AWS Shield to deny the s3:DeleteBucket action on the AWS account instead of all S3 buckets.	B
141. A company uses Amazon Route 53 to manage the public DNS records for the domain example.com. The company deploys an Amazon CloudFront distribution to deliver static assets for a new corporate website. The company wants to create a subdomain that is named "static" and must route traffic for the subdomain to the CloudFront distribution. How should a SysOps administrator create a new record for the subdomain in Route 53? 	A. Create a CNAME record. Enter static.cloudfront.net as the record name. Enter the CloudFront distribution's public IP address as the value.	B. Create a CNAME record. Enter static.example.com as the record name. Enter the CloudFront distribution's private IP address as the value.	C. Create an A record. Enter static.cloudfront.net as the record name. Enter the CloudFront distribution's ID as an alias target.	D. Create an A record. Enter static.example.com as the record name. Enter the CloudFront distribution's domain name as an alias target.	D
142. A company wants to be alerted through email when IAM CreateUser API calls are made within its AWS account. Which combination of actions should a SysOps administrator take to meet this requirement? (Choose two.)	A. Create an Amazon EventBridge (Amazon CloudWatch Events) rule with AWS CloudTrail as the event source and IAM CreateUser as the specific API call for the event pattern.	B. Create an Amazon EventBridge (Amazon CloudWatch Events) rule with Amazon CloudSearch as the event source and IAM CreateUser as the specific API call for the event pattern.	C. Create an Amazon EventBridge (Amazon CloudWatch Events) rule with AWS IAM Access Analyzer as the event source and IAM CreateUser as the specific API call for the event pattern.	D. Use an Amazon Simple Notification Service (Amazon SNS) topic as an event target with an email subscription.	E. Use an Amazon Simple Email Service (Amazon SES) notification as an event target with an email subscription.	AD
143. A company is running a website on Amazon EC2 instances behind an Application Load Balancer (ALB). The company configured an Amazon CloudFront distribution and set the ALB as the origin. The company created an Amazon Route 53 CNAME record to send all traffic through the CloudFront distribution. As an unintended side effect, mobile users are now being served the desktop version of the website. <br /> Which action should a SysOps administrator take to resolve this issue? 	A. Configure the CloudFront distribution behavior to forward the User-Agent header.	B. Configure the CloudFront distribution origin settings. Add a User-Agent header to the list of origin custom headers.	C. Enable IPv6 on the ALB. Update the CloudFront distribution origin settings to use the dualstack endpoint.	D. Enable IPv6 on the CloudFront distribution. Update the Route 53 record to use the dualstack endpoint.	A
144. A SysOps administrator is maintaining a web application using an Amazon CloudFront web distribution, an Application Load Balancer (ALB), Amazon RDS, and Amazon EC2 in a VPC. All services have logging enabled. The administrator needs to investigate HTTP Layer 7 status codes from the web application. <br />Which log sources contain the status codes? (Choose two.)	A. VPC Flow Logs	B. AWS CloudTrail logs	C. ALB access logs	D. CloudFront access logs	E. RDS logs	CD
145. A SysOps administrator is deploying a test site running on Amazon EC2 instances. The application requires both incoming and outgoing connectivity to the internet. Which combination of steps are required to provide internet connectivity to the EC2 instances? (Choose two.) 	A. Add a NAT gateway to a public subnet.	B. Attach a private address to the elastic network interface on the EC2 instance.	C. Attach an Elastic IP address to the internet gateway.	D. Add an entry to the route table for the subnet that points to an internet gateway.	E. Create an internet gateway and attach it to a VPC.	DE
146. An organization is running multiple applications for their customers. Each application is deployed by running a base AWS CloudFormation template that configures a new VPC. All applications are run in the same AWS account and AWS Region. A SysOps administrator has noticed that when trying to deploy the same AWS CloudFormation stack, it fails to deploy. <br />What is likely to be the problem? 	A. The Amazon Machine image used is not available in that region.	B. The AWS CloudFormation template needs to be updated to the latest version.	C. The VPC configuration parameters have changed and must be updated in the template.	D. The account has reached the default limit for VPCs allowed.	D
147. A company must ensure that any objects uploaded to an S3 bucket are encrypted. <br /> Which of the following actions will meet this requirement? (Choose two.) 	A. Implement AWS Shield to protect against unencrypted objects stored in S3 buckets.	B. Implement Object access control list (ACL) to deny unencrypted objects from being uploaded to the S3 bucket.	C. Implement Amazon S3 default encryption to make sure that any object being uploaded is encrypted before it is stored.	D. Implement Amazon Inspector to inspect objects uploaded to the S3 bucket to make sure that they are encrypted.	E. Implement S3 bucket policies to deny unencrypted objects from being uploaded to the buckets.	CE
148. A company hosts a web application on an Amazon EC2 instance in a production VPC. Client connections to the application are failing. A SysOps administrator inspects the VPC flow logs and finds the following entry: <br/ >2 111122223333 eni-<###> 192.0.2.15 203.0.113.56 40711 443 6 1 40 1418530010 1418530070 <br/ >REJECT OK <br />What is a possible cause of these failed connections?	A. A security group is denying traffic on port 443.	B. The EC2 instance is shut down.	C. The network ACL is blocking HTTPS traffic.	D. The VPC has no internet gateway attached.	A
149. A company is migrating its production file server to AWS. All data that is stored on the file server must remain accessible if an Availability Zone becomes unavailable or when system maintenance is performed. Users must be able to interact with the file server through the SMB protocol. Users also must have the ability to manage file permissions by using Windows ACLs. <br /> Which solution will net these requirements?	A. Create a single AWS Storage Gateway file gateway.	B. Create an Amazon FSx for Windows File Server Multi-AZ file system.	C. Deploy two AWS Storage Gateway file gateways across two Availability Zones. Configure an Application Load Balancer in front of the file gateways.	D. Deploy two Amazon FSx for Windows File Server Single-AZ 2 file systems. Configure Microsoft Distributed File System Replication (DFSR).	B
150. A new website will run on Amazon EC2 instances behind an Application Load Balancer. Amazon Route 53 will be used to manage DNS records. What type of record should be set in Route 53 to point the website’s apex domain name (for example.company.com to the Application Load Balancer? 	A. CNAME	B. SOA	C. TXT	D. ALIAS	D
151. A company needs to create a daily Amazon Machine Image (AMI) of an existing Amazon Linux EC2 instance that hosts the operating system, application, and database on multiple attached Amazon Elastic Block Store (Amazon EBS) volumes. File system integrity must be maintained. <br /> Which solution will meet these requirements?	A. Create an AWS Lambda function to call the CreateImage API operation with the EC2 instance ID and the no-reboot parameter enabled. Create a daily scheduled Amazon EventBridge (Amazon CloudWatch Events) rule that invokes the function.	B. Create an AWS Lambda function to call the CreateImage API operation with the EC2 instance ID and the reboot parameter enabled. Create a daily scheduled Amazon EventBridge (Amazon CloudWatch Events) rule that invokes the function.	C. Use AWS Backup to create a backup plan with a backup rule that runs daily. Assign the resource ID of the EC2 instance with the no-reboot parameter enabled.	D. Use AWS Backup to create a backup plan with a backup rule that runs daily. Assign the resource ID of the EC2 instance with the reboot parameter enabled.	B
152. A SysOps administrator needs to design a high-traffic static website. The website must be highly available and must provide the lowest possible latency to users across the globe. <br />Which solution will meet these requirements? 	A. Create an Amazon S3 bucket, and upload the website content to the S3 bucket. Create an Amazon CloudFront distribution in each AWS Region, and set the S3 bucket as the origin. Use Amazon Route 53 to create a DNS record that uses a geolocation routing policy to route traffic to the correct CloudFront distribution based on where the request originates.	B. Create an Amazon S3 bucket, and upload the website content to the S3 bucket. Create an Amazon CloudFront distribution, and set the S3 bucket as the origin. Use Amazon Route 53 to create an alias record that points to the CloudFront distribution.	C. Create an Application Load Balancer (ALB) and a target group. Create an Amazon EC2 Auto Scaling group with at least two EC2 instances in the associated target group. Store the website content on the EC2 instances. Use Amazon Route 53 to create an alias record that points to the ALB.	D. Create an Application Load Balancer (ALB) and a target group in two Regions. Create an Amazon EC2 Auto Scaling group in each Region with at least two EC2 instances in each target group. Store the website content on the EC2 instances. Use Amazon Route 53 to create a DNS record that uses a geolocation routing policy to route traffic to the correct ALB based on where the request originates.	B
153. A SysOps administrator is deploying an application on 10 Amazon EC2 instances. The application must be highly available. The instances must be placed on distinct underlying hardware. What should the SysOps administrator do to meet these requirements?	A. Launch the instances into a cluster placement group in a single AWS Region. 	B. Launch the instances into a partition placement group in multiple AWS Regions. 	C. Launch the instances into a spread placement group in multiple AWS Regions. 	D. Launch the instances into a spread placement group in single AWS Region 	D
154. A SysOps Administrator runs a web application that is using a microservices approach whereby different responsibilities of the application have been divided in a separate microservice running on a different Amazon EC2 instance. The administrator has been tasked with reconfiguring the infrastructure to support this approach.  <br />How can the administrator accomplish this with the LEAST administrative overhead? 	A. Use Amazon CloudFront to log the URL and forward the request.	B. Use Amazon CloudFront to rewrite the header based on the microservice and forward the request.	C. Use an Application Load Balancer (ALB) and do path-based routing.	D. Use a Network Load Balancer (NLB) and do path-based routing.	C
155. A company's customers are reporting increased latency while accessing static web content from Amazon S3 A SysOps administrator observed a very high rate of read operations on a particular S3 bucket <br />What will minimize latency by reducing load on the S3 bucket? 	A. Migrate the S3 bucket to a region that is closer to end users' geographic locations	B. Use cross-region replication to replicate all of the data to another region	C. Create an Amazon CloudFront distribution with the S3 bucket as the origin.	D. Use Amazon ElastiCache to cache data being served from Amazon S3	C
156. A company's SysOps administrator deploys four new Amazon EC2 instances by using the standard Amazon Linux 2 Amazon Machine Image (AMI). The company needs to be able to use AWS Systems Manager to manage the instances The SysOps administrator notices that the instances do not appear in the Systems Manager console <br />What must the SysOps administrator do to resolve this issue? 	A. Connect to each instance by using SSH Install Systems Manager Agent on each instance Configure Systems Manager Agent to start automatically when the instances start up	B. Use AWS Certificate Manager (ACM) to create a TLS certificate Import the certificate into each instance Configure Systems Manager Agent to use the TLS certificate for secure communications	C. Connect to each instance by using SSH Create an ssm-user account Add the ssm-user account to the /etcsudoers d directory	D. Attach an IAM instance profile to the instances Ensure that the instance profile contains the AmazonSSMManagedinstanceCore policy	D
157. A SysOps administrator uses AWS Systems Manager Session Manager to connect to instances After the SysOps administrator launches a new Amazon EC2 instance the EC2 instance does not appear in the Session Manager list of systems that are available for connection. The SysOps administrator verities that Systems Manager Agent is installed updated and running on the EC2 instance <br /> What is the reason for this issue?	A. The SysOps administrator does not have access to the key pair that is required for connection	B. The SysOps administrator has not attached a security group to the EC2 instance to allow SSH on port 22.	C. The EC2 instance does not have an attached IAM role that allows Session Manager to connect to the EC2 instance.	D. The EC2 instance ID has not been entered into the Session Manager configuration	C
158. A company has an organization in AWS Organizations. The company uses shared VPCs to provide networking resources across accounts A SysOps administrator has been able to successfully launch and manage Amazon EC2 instances in a participant account However the SysOps administrator is now receiving an InstanceLimitExceeded error when the SysOps administrator tries to launch a new EC2 instance <br />What should the SysOps administrator do to resolve this error') 	A. Request an instance quota increase from the account that owns the VPC	B. Launch additional EC2 instances in a different AWS Region	C. Request an instance quota increase from the parte pant account	D. Launch additional EC2 instances by using a different Amazon Machine image (AMI)	A
159. An environment consists of 100 Amazon EC2 Windows instances The Amazon CloudWatch agent Is deployed and running on at EC2 instances with a baseline configuration file to capture log files There is a new requirement to capture the DHCP tog tiles that exist on 50 of the instances <br />What is the MOST operational efficient way to meet this new requirement? 	A. Create an additional CloudWatch agent configuration file to capture the DHCP logs Use the AWS Systems Manager Run Command to restart the CloudWatch agent on each EC2 instance with the append-config option to apply the additional configuration file	B. Log in to each EC2 instance with administrator rights Create a PowerShell script to push the needed baseline log files and DHCP log files to CloudWatch	C. Run the CloudWatch agent configuration file wizard on each EC2 instance Verify that the base the log files are included and add the DHCP tog files during the wizard creation process	D. Run the CloudWatch agent configuration file wizard on each EC2 instance and select the advanced detail level. This wifi capture the operating system log files.	A
160. A SysOps administrator is reviewing VPC Flow Logs to troubleshoot connectivity issues in a VPC. While reviewing the togs the SysOps administrator notices that rejected traffic is not listed. <br />What should the SysOps administrator do to ensure that all traffic is logged	A. Create a new flow tog that has a titter setting to capture all traffic	B. Create a new flow log set the tog record format to a custom format Select the proper fields to include in the tog	C. Edit the existing flow log Change the fitter setting to capture all traffic	D. Edit the existing flow log. Set the log record format to a custom format Select the proper fields to include in the tog	A
161. A company uses an Amazon CloudFront distribution to deliver its website Traffic togs for the website must be centrally stored and all data must be encrypted at rest <br />Which solution will meet these requirements? 	A. Create an Amazon OpenSearch Service (Amazon Elasttcsearch Service) domain with internet access and server-side encryption that uses the default AWS managed key Configure CloudFront to use the Amazon OpenSearch Service (Amazon Elasticsearch Service) domain as a log destination	B. Create an Amazon OpenSearch Service (Amazon Elasticsearch Service) domain with VPC access and server-side encryption that uses AES-256 Configure CloudFront to use the Amazon OpenSearch Service (Amazon Elastcsearch Service) domain as a log destination	C. Create an Amazon S3 bucket that is configured with default server side encryption that uses AES- 256 Configure CloudFront to use the S3 bucket as a log destination	D. Create an Amazon S3 bucket that is configured with no default encryption Enable encryption in the CloudFront dtstnbubon and use the S3 bucket as a log destination	C
162. A company creates custom AMI images by launching new Amazon EC2 instances from an AWS CloudFormation template it installs and configure necessary software through AWS OpsWorks and takes images of each EC2 instance. The process of installing and configuring software can take between 2 to 3 hours but at limes the process stalls due to installation errors. The SysOps administrator must modify the CloudFormation template so if the process stalls, the entire stack will tail and roil back. <br />Based on these requirements what should be added to the template? 	A. Conditions with a timeout set to 4 hours.	B. CreationPolicy with timeout set to 4 hours.	C. DependsOn a timeout set to 4 hours.	D. Metadata with a timeout set to 4 hours	B
163. A company uses an Amazon Simple Queue Service (Amazon SQS) standard queue with its application. The application sends messages to the queue with unique message bodies The company decides to switch to an SQS FIFO queue <br /> What must the company do to migrate to an SQS FIFO queue? 	A. Create a new SQS FIFO gueue Turn on content based deduplication on the new FIFO queue Update the application to include a message group ID in the messages	B. Create a new SQS FIFO queue Update the application to include the DelaySeconds parameter in the messages	C. Modify the queue type from SQS standard to SQS FIFO Turn off content-based deduplication on the queue Update the application to include a message group ID in the messages	D. Modify the queue type from SQS standard to SQS FIFO Update the application to send messages with identical message bodies and to include the DelaySeconds parameter in the messages	A
164. A database is running on an Amazon RDS Mufti-AZ DB instance. A recent security audit found the database to be out of compliance because it was not encrypted. Which approach will resolve the encryption requirement?	A. Log in to the RDS console and select the encryption box to encrypt the database	B. Create a new encrypted Amazon EBS volume and attach it to the instance	C. Encrypt the standby replica in the secondary Availability Zone and promote it to the primary instance.	D. Take a snapshot of the RDS instance, copy and encrypt the snapshot and then restore to the new RDS instance	D
165. A SysOps administrator is tasked with deploying a company's infrastructure as code. The SysOps administrator want to write a single template that can be reused for multiple environments. <br />How should the SysOps administrator use AWS CloudFormation to create a solution? 	A. Use Amazon EC2 user data in a CloudFormation template	B. Use nested stacks to provision resources	C. Use parameters in a CloudFormation template	D. Use stack policies to provision resources	C
166. A company's web application is available through an Amazon CloudFront distribution and directly through an internet-facing Application Load Balancer (ALB) A SysOps administrator must make the application accessible only through the CloudFront distribution and not directly through the ALB. The SysOps administrator must make this change without changing the application code <br />Which solution will meet these requirements? 	A. Modify the ALB type to internal Set the distribution's origin to the internal ALB domain name	B. Create a Lambda@Edge function Configure the function to compare a custom header value in the request with a stored password and to forward the request to the origin in case of a match Associate the function with the distribution.	C. Replace the ALB with a new internal ALB Set the distribution's origin to the internal ALB domain name Add a custom HTTP header to the origin settings for the distribution In the ALB listener add a rule to forward requests that contain the matching custom header and the header's value Add a default rule to return a fixed response code of 403.	D. Add a custom HTTP header to the origin settings for the distribution in the ALB listener add a rule to forward requests that contain the matching custom header and the header's value Add a default rule to return a fixed response code of 403.	D
167. A compliance team requires all administrator passwords tor Amazon RDS DB instances to be changed at toast annually <br />Which solution meets this requirement in the MOST operationally efficient manned 	A. Store the database credentials in AWS Secrets Manager Configure automate rotation for the secret every 365 days	B. Store the database credentials as a parameter in the RDS parameter group Create a database trigger to rotate the password every 365 days	C. Store the database credentials in a private Amazon S3 bucket Schedule an AWS Lambda function to generate a new set of credentials every 365 days	D. Store the database credentials in AWS Systems Manager Parameter Store as a secure string parameter Configure automatic rotation for the parameter every 365 days	A
168. A SysOps administrator is responsible for a large fleet of Amazon EC2 instances and must know whether any instances will be affected by upcoming hardware maintenance. Which option would provide this information with the LEAST administrative overhead?	A. Deploy a third-party monitoring solution to provide real-time EC2 instance monitoring	B. List any instances with failed system status checks using the AWS Management Console	C. Monitor AWS CloudTrail for Stopinstances API calls	D. Review the AWS Personal Health Dashboard	D
169. A development team recently deployed a new version of a web application to production. After the release penetration testing revealed a cross-site scripting vulnerability that could expose user data. <br />Which AWS service will mitigate this issue? 	A. AWS Shield Standard	B. AWS WAF	C. Elastic Load Balancing	D. Amazon Cognito	B
170. A SysOps administrator must configure a resilient tier of Amazon EC2 instances for a high performance computing (HPC) application. The HPC application requires minimum latency between nodes <br />Which actions should the SysOps administrator take to meet these requirements? (Select TWO.) 	A. Create an Amazon Elastic File System (Amazon EPS) file system Mount the file system to the EC2 instances by using user data	B. Create a Multi-AZ Network Load Balancer in front of the EC2 instances	C. Place the EC2 instances in an Auto Scaling group within a single subnet	D. Launch the EC2 instances into a cluster placement group	E. Launch the EC2 instances into a partition placement group	AD
171. A SysOps administrator is unable to authenticate an AWS CLI call to an AWS service <br />Which of the following is the cause of this issue? 	A. The IAM password is incorrect	B. The server certificate is missing	C. The SSH key pair is incorrect	D. There is no access key	C
172. A company is expanding its use of AWS services across its portfolios The company wants to provision AWS accounts for each team to ensure a separation of business processes for security compliance and billing Account creation and bootstrapping should be completed m a scalable and efficient way so new accounts are created with a defined baseline and governance guardrails in place A SysOps administrator needs to design a provisioning process that saves time and resources <br />Which action should be taken to meet these requirements? 	A. Automate using AWS Elastic Beanstalk to provision the AWS accounts set up infrastructure and integrate with AWS Organizations	B. Create bootstrapping scripts in AWS OpsWorks and combine them with AWS CloudFormation templates to provision accounts and infrastructure	C. Use AWS Config to provision accounts and deploy instances using AWS Service Catalog	D. Use AWS Control Tower to create a template in Account Factory and use the template to provision new accounts	D
173. A SysOps administrator is unable to launch Amazon EC2 instances into a VPC because there are no available private IPv4 addresses in the VPC. Which combination of actions must the SysOps administrator take to launch the instances? (Select TWO.) 	A. Associate a secondary IPv4 CIDR block with the VPC	B. Associate a primary IPv6 CIDR block with the VPC	C. Create a new subnet for the VPC	D. Modify the CIDR block of the VPC	E. Modify the CIDR block of the subnet that is associated with the instances	AD
174. A SysOps administrator needs to develop a solution that provides email notification and inserts a record into a database every time a file is put into an Amazon S3 bucket. <br />What is the MOST operationally efficient solution that meets these requirements? 	A. Set up an S3 event notification that targets an Amazon Simple Notification Service (Amazon SNS) topic Create two subscriptions for the SNS topic Use one subscription to send the email notification Use the other subscription to invoke an AWS Lambda function that inserts the record into the database	B. Set up an Amazon CloudWatch alarm that enters ALARM state whenever an object is created in the S3 bucket Configure the alarm to invoke an AWS Lambda (unction that sends the email notification and inserts the record into the database	C. Create an AWS Lambda function to send the email notification and insert the record into the database whenever a new object is detected in the S3 bucket invoke the function every minute with an Amazon EventBridge (Amazon CloudWatch Events) scheduled rule.	D. Set up two S3 event notifications Target a separate AWS Lambda function with each notification Configure one function to send the email notification Configure the other function to insert the record into the database	C
175. A company needs to upload gigabytes of files every day. The company need to achieve higher throughput and upload speeds to Amazon S3 Which action should a SysOps administrator take to meet this requirement? 	A. Create an Amazon CloudFront distribution with the GET HTTP method allowed and the S3 bucket as an origin.	B. Create an Amazon ElastiCache duster and enable caching for the S3 bucket	C. Set up AWS Global Accelerator and configure it with the S3 bucket	D. Enable S3 Transfer Acceleration and use the acceleration endpoint when uploading files	D
176. A company requires that all IAM user accounts that have not been used for 90 days or more must have their access keys and passwords immediately disabled A SysOps administrator must automate the process of disabling unused keys using the MOST operationally efficient method. How should the SysOps administrator implement this solution? 	A. Create an AWS Step Functions workflow to identify IAM users that have not been active for 90 days Run an AWS Lambda function when a scheduled Amazon EventBridge (Amazon CloudWatch Events) rule is invoked to automatically remove the AWS access keys and passwords for these IAM users	B. Configure an AWS Config rule to identify IAM users that have not been active for 90 days Set up an automatic weekly batch process on an Amazon EC2 instance to disable the AWS access keys and passwords for these IAM users	C. Develop and run a Python script on an Amazon EC2 instance to programmatically identify IAM users that have not been active for 90 days Automatically delete these 1AM users	D. Set up an AWS Config managed rule to identify IAM users that have not been active for 90 days Set up an AWS Systems Manager automation runbook to disable the AWS access keys for these IAM users	D
177. A company plans to run a public web application on Amazon EC2 instances behind an Elastic Load Balancer (ELB). The company's security team wants to protect the website by using AWS Certificate Manager (ACM) certificates The ELB must automatically redirect any HTTP requests to HTTPS Which solution will meet these requirements? 	A. Create an Application Load Balancer that has one HTTPS listener on port 80 Attach an SSLTLS certificate to listener port 80 Create a rule to redirect requests from HTTP to HTTPS	B. Create an Application Load Balancer that has one HTTP listener on port 80 and one HTTPS protocol listener on port 443 Attach an SSL TLS certificate to listener port 443 Create a rule to redirect requests from port 80 to port 443	C. Create an Application Load Balancer that has two TCP listeners on port 80 and port 443 Attach an SSLTLS certificate to listener port 443 Create a rule to redirect requests from port 80 to port 443	D. Create a Network Load Balancer that has two TCP listeners on port 80 and port 443 Attach an SSLTLS certificate to listener port 443 Create a rule to redirect requests from port 80 to port 443	B
178. A company is planning to host its stateful web-based applications on AWS A SysOps administrator is using an Auto Scaling group of Amazon EC2 instances The web applications will run 24 hours a day 7 days a week throughout the year The company must be able to change the instance type within the same instance family later in the year based on the traffic and usage patterns Which EC2 instance purchasing option will meet these requirements MOST cost-effectively? 	A. Convertible Reserved Instances	B. On-Demand instances	C. Spot instances	D. Standard Reserved instances	A
179. A SysOps administrator is setting up a fleet of Amazon EC2 instances in an Auto Scaling group for an application. The fleet should have 50% CPU available at that times to accommodate bursts of traffic. The load will increase significantly between the hours of 09:00 and 17:00,7 days a week How should the SysOps administrator configure the scaling of the EC2 instances to meet these requirements? 	A. Create a target tracking scaling policy that runs when the CPU utilization is higher than 90%	B. Create a target tracking scaling policy that runs when the CPU utilization is higher than 50%. Create a scheduled scaling policy that ensures that the fleet is available at 09:00 Create a second scheduled scaling policy that scales in the fleet at 17:00	C. Set the Auto Scaling group to start with 2 instances by setting the desired instances maximum instances, and minimum instances to 2 Create a scheduled scaling policy that ensures that the fleet is available at 09:00	D. Create a scheduled scaling policy that ensures that the fleet is available at 09.00. Create a second scheduled scaling policy that scales in the fleet at 17:00	B
180. A SysOps administrator receives an alert from Amazon GuardDuty about suspicious network activity on an Amazon FC2 instance. The GuardDuty finding lists a new external IP address as a traffic destination. The SysOps administrator does not recognize the external IP address. The SysOps administrator must block traffic to the external IP address that GuardDuty identified Which solution will meet this requirement? 	A. Create a new security group to block traffic to the external IP address. Assign the new security group to the EC2 instance	B. Use VPC flow logs with Amazon Athena to block traffic to the external IP address	C. Create a network ACL Add an outbound deny rule tor traffic to the external IP address	D. Create a new security group to block traffic to the external IP address Assign the new security group to the entire VPC	A
181. A SysOps administrator is investigating why a user has been unable to use RDP to connect over the internet from their home computer to a bastion server running on an Amazon EC2 Windows instance. <br />Which of the following are possible causes of this issue? (Choose two.) 	A. A network ACL associated with the bastion's subnet is blocking the network traffic.	B. The instance does not have a private IP address.	C. The route table associated with the bastion's subnet does not have a route to the internet gateway.	D. The security group for the instance does not have an inbound rule on port 22.	E. The security group for the instance does not have an outbound rule on port 3389.	AC
182. A SysOps administrator is designing a solution for an Amazon RDS for PostgreSQL DB instance. Database credentials must be stored and rotated monthly. The applications that connect to the DB instance send write-intensive traffic with variable client connections that sometimes increase significantly in a short period of time. Which solution should a SysOps administrator choose to meet these requirements? 	A. Configure AWS Key Management Service (AWS KMS) to automatically rotate the keys for the DB instance. Use RDS Proxy to handle the increases in database connections.	B. Configure AWS Key Management Service (AWS KMS) to automatically rotate the keys for the DB instance. Use RDS read replicas to handle the increases in database connections.	C. Configure AWS Secrets Manager to automatically rotate the credentials for the DB instance. Use RDS Proxy to handle the increases in database connections.	D. Configure AWS Secrets Manager to automatically rotate the credentials for the DB instance. Use RDS read replicas to handle the increases in database connections.	A
183. An ecommerce company uses an Amazon ElastiCache for Memcached cluster for in-memory cachingof popular product queries on the shopping site. When viewing recent Amazon CloudWatch metrics data for the ElastiCache cluster, the SysOps administrator notices a large number of evictions. <br />Which of the following actions will reduce these evictions? (Choose two.) 	A. Add an additional node to the ElastiCache cluster.	B. Increase the ElastiCache time to live (TTL).	C. Increase the individual node size inside the ElastiCache cluster.	D. Put an Elastic Load Balancer in front of the ElastiCache cluster.	E. Use Amazon Simple Queue Service (Amazon SQS) to decouple the ElastiCache cluster.	AC
184. A company is deploying a third-party unit testing solution that is delivered as an Amazon EC2 Amazon Machine Image (AMI). All system configuration data is stored in Amazon DynamoDB. The testing results are stored in Amazon S3. A minimum of three EC2 instances are required to operate the product. The company's testing team wants to use an additional three EC2 Instances when the Spot Instance prices are at a certain threshold. A SysOps administrator must Implement a highly available solution that provides this functionality. <br />Which solution will meet these requirements with the LEAST operational overhead? 	A. Define an Amazon EC2 Auto Scaling group by using a launch configuration. Use the provided AMI In the launch configuration. Configure three On-Demand Instances and three Spot Instances. Configure a maximum Spot Instance price In the launch configuration.	B. Define an Amazon EC2 Auto Scaling group by using a launch template. Use the provided AMI in the launch template. Configure three On-Demand Instances and three Spot Instances. Configure a maximum Spot Instance price In the launch template.	C. Define two Amazon EC2 Auto Scaling groups by using launch configurations. Use the provided AMI in the launch configurations. Configure three On-Demand Instances for one Auto Scaling group. Configure three Spot Instances for the other Auto Scaling group. Configure a maximum Spot Instance price in the launch configuration for the Auto Scaling group that has Spot Instances.	D. Define two Amazon EC2 Auto Scaling groups by using launch templates. Use the provided AMI in the launch templates. Configure three On-Demand Instances for one Auto Scaling group. Configure three Spot Instances for the other Auto Scaling group. Configure a maximum Spot Instance price in the launch template for the Auto Scaling group that has Spot Instances.	C
