292. How can a database administrator reduce operational overhead for a MySQL database?	A. Migrate the database onto an EC2 instance	B. Migrate the database onto AWS Lambda	C. Use AWS CloudFormation to manage operations	D. Migrate the database onto an Amazon RDS instance	D	
293. Which AWS database service is schema-less and can be scaled dynamically without incurring downtime?	A. Amazon RDS	B. Amazon Aurora	C. Amazon RedShift	D. Amazon DynamoDB	D	
294. Which type of AWS database is ideally suited to analytics using SQL queries?	A. Amazon DynamoDB	B. Amazon RedShift	C. Amazon RDS	D. Amazon S3	B	
295. Which AWS service is designed to be used for operational analytics?	A. Amazon EMR	B. Amazon Athena	C. Amazon QuickSight	D. Amazon Elasticsearch Service	D	
296. You need to connect your company’s on-premise network into AWS and would like to establish an AWS managed VPN service. Which of the following configuration items needs to be setup on the Amazon VPC side of the connection?	A. A Virtual Private Gateway	B. A Customer Gateway	C. A Network Address Translation device	D. A Firewall	A	
297. Where are Amazon EBS snapshots stored?	A. On an Amazon EBS instance store	B. On an Amazon EFS filesystem	C. Within the EBS block store	D. On Amazon S3	D	
298. Which AWS service makes it easy to coordinate the components of distributed applications as a series of steps in a visual workflow?	A. Amazon SWF	B. AWS Step Functions	C. Amazon SNS	D. Amazon SES	B	
299. A Cloud Practitioner is creating the business process workflows associated with an order fulfilment system. Which AWS service can assist with coordinating tasks across distributed application components?	A. AWS STS	B. Amazon SQS	C. Amazon SWF	D. Amazon SNS	C	
300. Your manager has asked you to explain some of the security features available in the AWS cloud. How can you describe the function of Amazon CloudHSM?	A. It provides server-side encryption for S3 objects	B. It is a Public Key Infrastructure (PKI)	C. It can be used to generate, use and manage encryption keys in the cloud	D. It is a firewall for use with web applications	C	
301. Which AWS Glacier data access option retrieves data from an archive in 1-5 minutes?	A. Standard	B. Express	C. Accelerated	D. Expedited	D	
302. How can a systems administrator specify a script to be run on an EC2 instance during launch?	A. Metadata	B. User Data	C. Run Command	D. AWS Config	B	
303. What advantages does the AWS cloud provide in relation to cost? (Select TWO.)	A. Fine-grained billing	B. One-off payments for on-demand resources	C. Ability to turn off resources and not pay for them	D. Enterprise licensing discounts	E. Itemized power costs	AC
304. Which of the authentication options below can be used to authenticate using AWS APIs? (Select TWO.)	A. Key pairs	B. Access keys	C. Server passwords	D. Security groups	E. Server certificates	BE
305. Under the AWS Shared Responsibility Model, who is responsible for what? (Select TWO.)	A. Customers are responsible for compute infrastructure	B. AWS are responsible for network and firewall configuration	C. Customers are responsible for networking traffic protection	D. AWS are responsible for networking infrastructure	E. Customers are responsible for edge locations	CD
306. Which HTTP code indicates a successful upload of an object to Amazon S3?	A. 200	B. 300	C. 400	D. 500	A	
307. Which AWS support plans provide 24×7 access to customer service?	A. Basic	B. Business	C. Developer	D. All plans	D	
308. Which of the following are NOT features of AWS IAM? (Select TWO.)	A. Shared access to your AWS account	B. Logon using local user accounts	C. Identity federation	D. PCI DSS compliance	E. Charged for what you use	BE
309. How can a company facilitate the sharing of data over private connections between two accounts they own within a region?	A. Create an internal ELB	B. Create a subnet peering connection	C. Create a VPC peering connection	D. Configure matching CIDR address ranges	C	
310. How can you deploy your EC2 instances so that if a single data center fails you still have instances available?	A. Across regions	B. Across subnets	C. Across Availability Zones	D. Across VPCs	C	
311. Your manager has asked you to explain the benefits of using IAM groups. Which of the below statements are valid benefits? © 2024 Digital Cloud Training 286 (Select TWO.)	A. You can restrict access to the subnets in your VPC	B. Groups let you specify permissions for multiple users, which can make it easier to manage the permissions for those users	C. Provide the ability to create custom permission policies	D. Enables you to attach IAM permission policies to more than one user at a time	E. Provide the ability to nest groups to create an organizational hierarchy	BD
312. Which of the following are pillars from the five pillars of the AWS Well-Architected Framework? (Select TWO.)	A. Resilience	B. Operational excellence	C. Confidentiality	D. Economics	E. Performance efficiency	BE
313. What do you need to log into the AWS console?	A. User name and password	B. Key pair	C. Access key and secret ID	D. Certificate	A	
314. What are the advantages of running a database service such as Amazon RDS in the cloud versus deploying on-premise? (Select TWO.)	A. You have full control of the operating system and can install your own operational tools	B. Scalability is improved as it is quicker to implement and there is an abundance of capacity	C. You can use any database software you like, allowing greater flexibility	D. High availability is easier to implement due to built-in functionality for deploying read replicas and multi-AZ	E. There are no costs for replicating data between DBs in different data centers or regions	BD
315. Which of the statements below does NOT characterize cloud computing?	A. Cloud computing is the on-demand delivery of compute power	B. With cloud computing you get to benefit from massive economies of scale	C. Cloud computing allows you to swap variable expense for capital expense	D. With cloud computing you can increase your speed and agility	C	
316. Which AWS technology enables you to group resources that share one or more tags?	A. Tag groups	B. Organization groups	C. Resource groups	D. Consolidation groups	C	
317. What is the easiest way to store a backup of an EBS volume on Amazon S3?	A. Write a custom script to copy the data into a bucket	B. Use S3 lifecycle actions to backup the volume	C. Create a snapshot of the volume	D. Use Amazon Kinesis to process the data and store the results in S3	C	
318. Which AWS security tool uses an agent installed in EC2 instances and assesses applications for vulnerabilities and deviations from best practices?	A. AWS Trusted Advisor	B. AWS Personal Health Dashboard	C. AWS TCO Calculator	D. AWS Inspector	D	
319. Which of the following is NOT a best practice for protecting the root user of an AWS account?	A. Don’t share the root user credentials	B. Enable MFA	C. Remove administrative permissions	D. Lock away the AWS root user access keys	C	
320. You are evaluating AWS services that can assist with creating scalable application environments. Which of the statements below best describes the Elastic Load Balancer service?	A. Helps you ensure that you have the correct number of Amazon EC2 instances available to handle the load for your application	B. A highly available and scalable Domain Name System (DNS) service	C. Automatically distributes incoming application traffic across multiple targets, such as Amazon EC2 instances, containers, and IP addresses	D. A network service that provides an alternative to using the Internet to connect customers’ on-premise sites to AWS	C	
321. What is an example of scaling vertically?	A. AWS Auto Scaling adding more EC2 instances	B. AWS Lambda adding concurrently executing functions	C. Increasing the instance size with Amazon RDS	D. Adding read replicas to an Amazon RDS database	C	
322. To reduce cost, which of the following services support reservations? (Select TWO.)	A. Amazon ElastiCache	B. Amazon CloudFormation	C. Amazon RedShift	D. AWS Elastic Beanstalk	E. Amazon S3	AC
323. What type of cloud computing service type do AWS Elastic Beanstalk and Amazon RDS correspond to? © 2024 Digital Cloud Training 292	A. IaaS	B. PaaS	C. SaaS	D. Hybrid	B	
324. How can a company configure automatic, asynchronous copying of objects in Amazon S3 buckets across regions?	A. This is done by default by AWS	B. By configuring multi-master replication	C. Using cross-region replication	D. Using lifecycle actions	C	
325. Your company has recently migrated to AWS. How can your CTO monitor the organization’s costs?	A. AWS Cost Explorer	B. AWS CloudTrail	C. AWS Consolidated Billing	D. AWS Simple Monthly calculator	A	
326. Your organization has offices around the world and some employees travel between offices. How should their accounts be setup?	A. IAM is a global service, just create the users in one place	B. Create a separate account in IAM within each region in which they will travel	C. Set the user account as a “global” account when created	D. Enable MFA for the accounts	A	
